                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0795,                 4.0572,                 4.2061,                0.00376,                0.60198,                0.00776,                0.00279,                 2.6609,                 4.0471,                 4.1264,                 0.0874,                 0.0014,                 0.0014
                      1,                 3.0577,                 4.0052,                  4.155,                0.00371,                0.59953,                0.00742,                 0.0026,                 2.6486,                 4.0597,                  4.099,               0.073804,              0.0028043,              0.0028043
                      2,                 3.0374,                 3.9678,                 4.1331,                0.00382,                0.61813,                 0.0084,                 0.0028,                 2.6385,                 4.0694,                 4.0681,                0.06011,              0.0041096,              0.0041096
                      3,                 3.0239,                 3.9542,                 4.0688,                0.00399,                0.65242,                0.01039,                0.00331,                 2.6244,                 4.0973,                 4.0305,               0.046316,              0.0053159,              0.0053159
                      4,                 2.9834,                 3.8977,                 4.0149,                 0.0039,                0.63807,                0.01212,                0.00367,                 2.6064,                 4.1466,                 3.9815,               0.032423,              0.0064232,              0.0064232
                      5,                 3.0235,                 3.8362,                 3.9609,                0.00409,                0.65559,                0.01764,                0.00512,                  2.594,                 4.1798,                 3.9331,               0.018431,              0.0074315,              0.0074315
                      6,                 2.9986,                 3.6892,                 3.9275,                0.00492,                 0.4889,                0.03168,                0.00899,                 2.5814,                  4.139,                 3.8832,                0.00802,                0.00802,                0.00802
                      7,                  3.012,                 3.6807,                 3.8841,                0.00498,                0.80963,                0.01872,                0.00551,                 2.5725,                 3.9812,                 3.7841,                0.00802,                0.00802,                0.00802
                      8,                 3.0141,                 3.5166,                 3.8029,                0.69871,                0.03196,                0.02204,                0.00664,                 2.5789,                  3.982,                 3.7708,                0.00769,                0.00769,                0.00769
                      9,                 3.0528,                 3.4384,                 3.7671,                0.02025,                0.10812,                 0.0256,                0.00805,                 2.5862,                 4.4627,                 4.0439,                0.00736,                0.00736,                0.00736
                     10,                  3.025,                 3.4163,                 3.7221,                0.36026,                0.03196,                0.01469,                 0.0043,                  2.685,                 4.6907,                 8.7714,                0.00703,                0.00703,                0.00703
                     11,                 3.0115,                 3.2487,                 3.6304,                0.05963,                0.20231,                0.02282,                0.00686,                 2.6063,                 6.3846,                 3.5775,                 0.0067,                 0.0067,                 0.0067
                     12,                 2.9255,                 3.1806,                 3.5868,                0.14985,                0.21795,                0.05375,                0.01587,                 2.5557,                 3.9881,                 3.5213,                0.00637,                0.00637,                0.00637
                     13,                 2.8889,                 3.1288,                  3.508,                0.06679,                0.11286,                0.06763,                0.01736,                 2.5509,                 3.5753,                 3.6252,                0.00604,                0.00604,                0.00604
                     14,                  2.953,                  3.096,                 3.5292,                0.06216,                0.13898,                0.04701,                0.01425,                 2.5943,                 3.6805,                 3.8656,                0.00571,                0.00571,                0.00571
                     15,                 2.8367,                 2.9176,                  3.405,                0.39652,                0.00897,                0.05621,                0.01578,                 2.6361,                 3.7055,                 3.9305,                0.00538,                0.00538,                0.00538
                     16,                 2.8918,                 3.0295,                 3.4457,                0.25056,                 0.0141,                0.09178,                0.02395,                 2.6063,                  3.662,                 3.8177,                0.00505,                0.00505,                0.00505
                     17,                 2.7727,                 2.8887,                 3.3625,                0.13438,                0.11288,                0.09449,                0.03253,                 2.3918,                  3.515,                 3.4912,                0.00472,                0.00472,                0.00472
                     18,                 2.7144,                 2.8309,                 3.3212,                0.17101,                 0.2092,                0.12178,                0.04319,                 2.3038,                 3.2185,                 3.2617,                0.00439,                0.00439,                0.00439
                     19,                 2.6584,                 2.7583,                 3.2452,                0.21206,                0.23439,                 0.1698,                0.06648,                 2.2663,                 3.1354,                  3.294,                0.00406,                0.00406,                0.00406
                     20,                 2.5668,                 2.7101,                 3.1985,                0.33436,                0.33719,                0.29647,                 0.1175,                 2.1883,                 2.7864,                 3.0877,                0.00373,                0.00373,                0.00373
                     21,                  2.469,                 2.7362,                 3.1409,                0.25414,                0.33331,                0.21775,                0.07673,                 2.3103,                 3.2934,                  3.078,                 0.0034,                 0.0034,                 0.0034
                     22,                 2.4959,                 2.7914,                 3.1305,                0.33027,                0.41329,                0.31826,                0.13524,                  2.147,                 2.9013,                 2.9514,                0.00307,                0.00307,                0.00307
                     23,                 2.3913,                 2.5976,                 3.0478,                0.29868,                0.37596,                0.28956,                0.11748,                 2.1254,                 2.8676,                 2.9414,                0.00274,                0.00274,                0.00274
                     24,                 2.3151,                 2.5953,                 2.9667,                0.27652,                  0.375,                0.28145,                0.11262,                 2.0968,                 3.0631,                 2.8833,                0.00241,                0.00241,                0.00241
                     25,                 2.3591,                 2.5955,                 2.9529,                0.35015,                0.40976,                0.31714,                0.13836,                 2.0869,                 2.7555,                  2.864,                0.00208,                0.00208,                0.00208
                     26,                 2.3285,                 2.5747,                 2.9477,                0.35974,                0.34916,                0.31344,                0.14035,                 2.1358,                 2.7752,                 2.9715,                0.00175,                0.00175,                0.00175
                     27,                 2.3099,                 2.5913,                 2.9257,                 0.4139,                0.38352,                0.36748,                0.16435,                 2.0823,                 2.6397,                 2.9173,                0.00142,                0.00142,                0.00142
                     28,                 2.2983,                 2.5281,                  2.905,                 0.4046,                 0.4636,                0.39291,                0.17468,                  2.055,                  2.557,                 2.8646,                0.00109,                0.00109,                0.00109
                     29,                 2.3424,                 2.5636,                 2.9345,                0.38416,                0.44776,                0.37159,                0.16521,                 2.0454,                 2.5996,                  2.853,                0.00076,                0.00076,                0.00076
