                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.3731,                 1.6041,                 1.8769,                0.73796,                  0.711,                0.78548,                0.57303,                 1.0699,                 1.3671,                 1.7141,              0.0012104,              0.0012104,              0.0012104
                     34,                 1.3066,                 1.5512,                 1.8153,                0.81205,                0.80214,                 0.8325,                0.61047,                 1.0181,                 1.1192,                 1.6773,              0.0012092,              0.0012092,              0.0012092
                     35,                  1.262,                 1.5246,                 1.7915,                0.73123,                0.78696,                0.81323,                0.60213,                 1.0552,                 1.2251,                 1.6857,              0.0012079,              0.0012079,              0.0012079
                     36,                 1.2645,                 1.4715,                 1.7725,                0.66302,                0.70623,                0.75579,                0.57651,                0.97767,                 1.3568,                 1.6087,              0.0012067,              0.0012067,              0.0012067
                     37,                 1.2895,                 1.4927,                   1.78,                0.76146,                0.77235,                0.80278,                0.55675,                 1.1096,                 1.1557,                 1.6999,              0.0012055,              0.0012055,              0.0012055
                     38,                 1.2505,                 1.4083,                 1.7383,                0.83857,                0.78071,                0.83875,                0.61734,                0.97126,                 1.0936,                 1.5608,              0.0012042,              0.0012042,              0.0012042
                     39,                 1.1998,                 1.4151,                 1.6942,                0.77032,                  0.783,                0.81167,                0.59164,                0.99956,                 1.1831,                 1.6539,               0.001203,               0.001203,               0.001203
                     40,                 1.1965,                 1.3903,                 1.6907,                0.80165,                0.71045,                0.79608,                 0.5793,                 1.0643,                 1.2521,                  1.671,              0.0012017,              0.0012017,              0.0012017
                     41,                 1.2121,                 1.3553,                 1.7095,                 0.8189,                0.73692,                0.84713,                0.61528,                 1.0159,                  1.299,                 1.6201,              0.0012005,              0.0012005,              0.0012005
                     42,                 1.2558,                 1.4019,                 1.7255,                0.85162,                0.78435,                0.85813,                0.63022,                 1.0375,                  1.169,                  1.649,              0.0011993,              0.0011993,              0.0011993
                     43,                 1.2234,                 1.4374,                  1.715,                0.85388,                0.75168,                 0.8534,                0.64812,                0.97728,                 1.1372,                 1.5584,               0.001198,               0.001198,               0.001198
                     44,                 1.1167,                 1.3118,                 1.6174,                0.72092,                 0.7954,                0.81136,                 0.5856,                 1.0935,                  1.388,                 1.6434,              0.0011968,              0.0011968,              0.0011968
                     45,                 1.1977,                 1.3807,                 1.6666,                0.82697,                0.76751,                0.82759,                0.63025,                0.97108,                 1.1556,                 1.5692,              0.0011955,              0.0011955,              0.0011955
                     46,                 1.1585,                 1.2598,                 1.6364,                 0.8819,                0.80499,                0.87306,                0.66216,                0.95565,                0.88145,                 1.5296,              0.0011943,              0.0011943,              0.0011943
                     47,                 1.1045,                 1.2293,                  1.587,                0.90975,                0.81402,                0.88116,                 0.6608,                0.92365,                0.91719,                 1.4987,              0.0011931,              0.0011931,              0.0011931
                     48,                 1.1122,                  1.304,                 1.6023,                0.84945,                0.84648,                0.88081,                0.65882,                0.90664,                0.92195,                 1.5069,              0.0011918,              0.0011918,              0.0011918
                     49,                 1.0618,                 1.1685,                 1.5318,                0.63345,                0.78369,                0.84088,                0.59103,                 1.0167,                 1.1803,                 1.5901,              0.0011906,              0.0011906,              0.0011906
                     50,                 1.1426,                 1.2063,                 1.5972,                0.90927,                0.84425,                0.89317,                0.67885,                0.86557,                0.86004,                 1.4118,              0.0011894,              0.0011894,              0.0011894
                     51,                 1.0943,                 1.1796,                 1.5632,                0.77509,                0.80323,                0.88903,                0.68089,                 0.8815,                0.95982,                 1.4376,              0.0011881,              0.0011881,              0.0011881
                     52,                 1.1171,                 1.2036,                 1.5694,                0.88326,                0.86876,                0.90319,                0.67375,                0.90669,                0.84419,                 1.4556,              0.0011869,              0.0011869,              0.0011869
                     53,                 1.0635,                 1.1691,                 1.5213,                0.85545,                0.81512,                0.87954,                0.66216,                0.88615,                0.90451,                 1.4649,              0.0011856,              0.0011856,              0.0011856
                     54,                 1.0643,                 1.1383,                 1.5164,                0.89093,                0.80489,                0.89125,                 0.6897,                0.84335,                0.81248,                 1.3939,              0.0011844,              0.0011844,              0.0011844
                     55,                 1.0998,                 1.1697,                 1.5353,                0.91465,                0.87138,                0.89655,                0.68699,                0.85822,                 0.7739,                 1.3817,              0.0011832,              0.0011832,              0.0011832
                     56,                 1.0609,                 1.1017,                 1.5135,                0.90849,                0.79946,                0.89136,                0.68611,                0.86901,                0.83594,                 1.3825,              0.0011819,              0.0011819,              0.0011819
                     57,                 1.0887,                 1.0905,                 1.5163,                 0.9125,                0.85659,                0.90248,                0.68951,                 0.8806,                0.81024,                 1.4076,              0.0011807,              0.0011807,              0.0011807
                     58,                 1.0936,                 1.1461,                 1.5272,                0.91517,                0.84846,                0.91344,                0.70541,                0.83439,                0.82314,                  1.374,              0.0011795,              0.0011795,              0.0011795
                     59,                 1.0567,                 1.0792,                 1.4976,                0.88669,                0.84998,                0.92501,                0.71927,                0.84309,                0.88348,                 1.3756,              0.0011782,              0.0011782,              0.0011782
                     60,                 1.0419,                 1.0631,                 1.4975,                0.90087,                0.84682,                0.89947,                0.70227,                 0.8011,                0.70333,                 1.3399,               0.001177,               0.001177,               0.001177
                     61,                0.95206,                 1.0491,                 1.4398,                0.83952,                0.83699,                0.87511,                0.68289,                0.81934,                0.83013,                 1.3541,              0.0011757,              0.0011757,              0.0011757
                     62,                 0.9722,                 1.0182,                 1.4279,                0.91817,                0.82305,                0.91072,                0.70821,                0.82259,                0.77086,                 1.3632,              0.0011745,              0.0011745,              0.0011745
                     63,                0.98695,                0.98901,                 1.4349,                0.92409,                0.85674,                0.92775,                 0.7285,                0.75948,                0.74409,                 1.3047,              0.0011733,              0.0011733,              0.0011733
                     64,                 1.0215,                 1.0865,                 1.5133,                0.90291,                0.85882,                0.91842,                0.71623,                0.83312,                0.71387,                 1.3666,               0.001172,               0.001172,               0.001172
                     65,                 1.0212,                 1.0208,                 1.4513,                0.88355,                0.85095,                0.90255,                0.71214,                0.77962,                0.73991,                  1.338,              0.0011708,              0.0011708,              0.0011708
                     66,                0.99261,                 1.0002,                 1.4382,                0.91946,                0.84091,                0.90921,                0.69718,                0.79774,                 0.7361,                  1.344,              0.0011696,              0.0011696,              0.0011696
                     67,                  1.024,                 1.0587,                 1.4693,                0.87842,                0.88264,                 0.9124,                 0.7021,                0.82005,                0.73791,                 1.3249,              0.0011683,              0.0011683,              0.0011683
                     68,                0.96187,                0.96955,                 1.4099,                0.91097,                 0.8558,                0.94004,                0.72982,                0.77748,                0.70355,                 1.3179,              0.0011671,              0.0011671,              0.0011671
                     69,                 1.0277,                 1.0038,                 1.4601,                0.92172,                0.88388,                0.94858,                0.75713,                0.71954,                0.63864,                 1.2933,              0.0011658,              0.0011658,              0.0011658
                     70,                0.97006,                0.95716,                 1.4162,                0.87701,                0.87223,                0.93032,                 0.7481,                0.72199,                0.65335,                 1.2693,              0.0011646,              0.0011646,              0.0011646
                     71,                0.95197,                0.99925,                 1.4011,                0.93696,                0.90479,                0.95717,                0.74573,                0.77649,                0.66708,                 1.3067,              0.0011634,              0.0011634,              0.0011634
                     72,                0.94241,                0.91183,                 1.3924,                0.86264,                0.89738,                0.94188,                0.73942,                0.78415,                0.74457,                 1.3115,              0.0011621,              0.0011621,              0.0011621
                     73,                0.95449,                0.95361,                 1.4037,                 0.8405,                0.84094,                0.90382,                0.70162,                0.81997,                0.79424,                  1.335,              0.0011609,              0.0011609,              0.0011609
                     74,                0.93499,                0.95783,                 1.3968,                0.86195,                  0.899,                0.93878,                0.73226,                0.77165,                0.70822,                 1.3135,              0.0011597,              0.0011597,              0.0011597
                     75,                0.93249,                0.91137,                 1.3787,                0.91236,                0.87994,                0.93659,                0.73878,                0.79299,                 0.6899,                  1.306,              0.0011584,              0.0011584,              0.0011584
                     76,                0.92156,                 0.9041,                 1.3827,                0.91551,                0.88872,                 0.9539,                0.77134,                  0.703,                0.64391,                 1.2248,              0.0011572,              0.0011572,              0.0011572
                     77,                0.99356,                0.94538,                 1.4246,                0.90265,                0.87532,                0.94161,                0.71308,                0.86155,                0.73716,                 1.3833,              0.0011559,              0.0011559,              0.0011559
                     78,                0.91038,                0.89137,                 1.3598,                 0.9107,                0.89164,                0.95467,                  0.753,                0.76041,                0.62362,                  1.272,              0.0011547,              0.0011547,              0.0011547
                     79,                0.95562,                0.90904,                 1.3814,                0.91476,                0.88128,                0.95116,                0.72692,                0.80425,                0.64853,                  1.316,              0.0011535,              0.0011535,              0.0011535
                     80,                0.92679,                0.89611,                 1.3567,                0.92521,                0.87477,                0.96062,                0.77651,                0.69369,                0.60295,                 1.2172,              0.0011522,              0.0011522,              0.0011522
                     81,                0.88919,                0.83846,                 1.3323,                0.90351,                0.91262,                0.95124,                0.75778,                0.73614,                0.60921,                 1.2573,               0.001151,               0.001151,               0.001151
                     82,                0.90478,                 0.8443,                 1.3631,                0.91222,                0.91681,                0.95941,                0.76949,                0.74543,                0.58382,                 1.2471,              0.0011498,              0.0011498,              0.0011498
                     83,                0.90566,                0.87647,                 1.3527,                 0.9261,                0.86416,                 0.9395,                0.73818,                0.77795,                0.65711,                 1.2925,              0.0011485,              0.0011485,              0.0011485
