                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0795,                 4.0572,                 4.2061,                0.00376,                0.60198,                0.00776,                0.00279,                 2.6609,                 4.0471,                 4.1264,                 0.0874,                 0.0014,                 0.0014
                      1,                 3.0599,                 4.0026,                 4.1548,                0.00366,                0.59456,                0.00882,                0.00334,                 2.6484,                 4.0583,                 4.0992,               0.073182,              0.0021823,              0.0021823
                      2,                 3.0397,                 3.9651,                 4.1172,                0.00376,                0.60467,                0.00838,                0.00308,                 2.6376,                 4.0658,                 4.0651,               0.058222,               0.002222,               0.002222
                      3,                 3.0282,                 3.9626,                 4.0859,                0.00384,                0.62834,                0.00851,                0.00285,                 2.6285,                 4.0826,                 4.0391,               0.042519,              0.0015192,              0.0015192
