                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1913,                 4.2546,                 4.3293,                0.00258,                0.45624,                0.00297,                 0.0012,                 2.9434,                 4.1151,                 4.1559,              0.0002375,              0.0002375,              0.0002375
                      1,                  3.221,                 4.1122,                 4.1677,                0.00254,                0.45526,                0.00337,                 0.0014,                 2.9526,                 4.1193,                 4.1375,             0.00048726,             0.00048726,             0.00048726
                      2,                 3.1309,                 3.8627,                 3.9962,                0.00259,                0.45754,                0.00889,                 0.0035,                 2.9538,                 4.1946,                 4.1013,             0.00073677,             0.00073677,             0.00073677
                      3,                 3.0669,                 3.7269,                 3.8212,                0.00269,                0.47214,                0.00774,                0.00217,                 2.9499,                 3.9534,                 4.0325,             0.00098603,             0.00098603,             0.00098603
                      4,                 2.9551,                 3.5343,                 3.6162,                0.00376,                0.52428,                0.02031,                0.00525,                 2.9356,                  3.938,                 4.2976,               0.001235,               0.001235,               0.001235
                      5,                  2.731,                 3.4084,                 3.4197,                0.30091,                0.24144,                0.07231,                0.01646,                 2.7323,                 8.0852,                 3.9579,              0.0012469,              0.0012469,              0.0012469
                      6,                 2.6219,                 3.2252,                 3.2936,                0.44625,                0.19086,                0.09908,                0.03318,                 3.0695,                 11.219,                 4.3306,              0.0012469,              0.0012469,              0.0012469
                      7,                 2.5041,                 3.0306,                 3.1598,                 0.0205,                0.23638,                0.01935,                0.00519,                 3.0051,                  47.43,                 4.6439,              0.0012463,              0.0012463,              0.0012463
                      8,                 2.4854,                 2.9778,                 3.0655,                0.13543,                0.36819,                0.14716,                0.05895,                 2.4628,                 6.6077,                 3.3326,              0.0012457,              0.0012457,              0.0012457
                      9,                 2.2913,                 2.8737,                 2.9605,                0.20959,                0.35531,                0.20089,                0.09077,                 2.2619,                 3.1934,                 3.0452,              0.0012451,              0.0012451,              0.0012451
                     10,                   2.23,                 2.8536,                 2.8744,                0.25899,                0.30553,                  0.246,                0.07422,                 2.1709,                 3.3047,                 3.0065,              0.0012444,              0.0012444,              0.0012444
                     11,                 2.1519,                 2.7233,                 2.8149,                0.45842,                0.42397,                0.37152,                0.16781,                 1.9917,                 3.4477,                 2.8408,              0.0012438,              0.0012438,              0.0012438
                     12,                 2.0828,                 2.5835,                 2.7384,                0.50185,                0.47699,                  0.487,                0.23425,                 1.9204,                 2.2592,                 2.7607,              0.0012432,              0.0012432,              0.0012432
                     13,                 2.0427,                 2.5509,                 2.6655,                0.39846,                0.40335,                0.41767,                0.22936,                 1.8815,                 2.4396,                 2.6252,              0.0012426,              0.0012426,              0.0012426
                     14,                 1.8997,                  2.347,                 2.5348,                0.44682,                0.47409,                0.44519,                0.22526,                 1.8969,                 2.4227,                 2.6952,               0.001242,               0.001242,               0.001242
