                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0795,                 4.0572,                 4.2061,                0.00376,                0.60198,                0.00776,                0.00279,                 2.6609,                 4.0471,                 4.1264,                 0.0874,                 0.0014,                 0.0014
                      1,                 3.0668,                 4.0061,                 4.1614,                0.00369,                0.59601,                0.00821,                0.00268,                 2.6488,                  4.059,                    4.1,               0.073876,              0.0028761,              0.0028761
                      2,                 3.0356,                 3.9693,                 4.1264,                0.00379,                0.60907,                0.00921,                0.00342,                 2.6383,                 4.0691,                 4.0662,               0.060327,              0.0043274,              0.0043274
                      3,                 3.0233,                 3.9635,                 4.0711,                0.00393,                0.64549,                0.01065,                0.00341,                 2.6261,                 4.0945,                 4.0298,               0.046754,               0.005754,               0.005754
                      4,                 2.9813,                  3.906,                 4.0327,                0.00394,                0.64745,                0.01146,                0.00362,                 2.6115,                 4.1362,                  3.988,               0.033156,              0.0071558,              0.0071558
                      5,                 3.0332,                 3.8817,                 3.9846,                0.00402,                0.65201,                 0.0214,                0.00638,                 2.6011,                 4.1751,                 3.9494,               0.019533,              0.0085329,              0.0085329
                      6,                 3.0095,                 3.7988,                 3.9604,                0.02446,                   0.31,                0.02309,                0.00778,                 2.5886,                 4.1559,                 3.9001,               0.009505,               0.009505,               0.009505
                      7,                 3.0054,                 3.7618,                 3.9155,                0.00519,                0.88884,                0.02025,                0.00626,                 2.5534,                 3.9843,                 3.7791,               0.009505,               0.009505,               0.009505
                      8,                 3.0163,                 3.5856,                 3.8064,                0.67532,                0.07078,                 0.0224,                0.00652,                 2.5846,                 8.0295,                    3.7,              0.0094225,              0.0094225,              0.0094225
                      9,                 3.0583,                 3.4397,                 3.7428,                0.38384,                0.07181,                0.02961,                0.00791,                 2.6834,                 4.3254,                 4.2693,                0.00934,                0.00934,                0.00934
                     10,                  3.027,                 3.4484,                 3.6792,                0.04651,                0.08377,                0.03477,                0.01027,                 2.8219,                 4.8742,                  5.306,              0.0092575,              0.0092575,              0.0092575
                     11,                 3.0288,                 3.2323,                 3.5934,                 0.0711,                0.09001,                0.03157,                0.00809,                  2.735,                 4.5672,                 4.6295,               0.009175,               0.009175,               0.009175
                     12,                 2.9407,                 3.2657,                 3.5546,                0.04215,                0.14915,                0.02663,                0.00678,                 2.7508,                 11.069,                 4.3727,              0.0090925,              0.0090925,              0.0090925
                     13,                 2.9176,                 3.2973,                 3.5019,                0.06981,                0.27318,                0.03714,                0.00971,                 2.6698,                 6.1843,                 3.8368,                0.00901,                0.00901,                0.00901
                     14,                 2.9621,                 3.1658,                 3.4854,                0.03305,                 0.1172,                0.02489,                0.00681,                 2.6407,                 5.0015,                 3.4951,              0.0089275,              0.0089275,              0.0089275
                     15,                  2.848,                  3.025,                 3.3668,                0.40107,                0.23721,                0.04758,                0.01199,                 2.6293,                 6.4983,                 3.2597,               0.008845,               0.008845,               0.008845
                     16,                 2.9263,                 3.0835,                 3.3976,                0.37302,                0.14541,                0.04142,                0.01219,                 2.4932,                 3.8362,                 3.2351,              0.0087625,              0.0087625,              0.0087625
                     17,                 2.8155,                 2.9786,                 3.3338,                0.37943,                0.10739,                0.05563,                0.01661,                 2.5644,                 3.5289,                 3.3358,                0.00868,                0.00868,                0.00868
                     18,                 2.7544,                 2.9452,                 3.2684,                0.11785,                 0.3095,                0.07434,                0.02341,                 2.5874,                 3.6586,                 3.3528,              0.0085975,              0.0085975,              0.0085975
                     19,                 2.7371,                 2.8355,                 3.2097,                 0.1718,                 0.3227,                0.14947,                0.05143,                  2.462,                 3.2065,                  3.213,               0.008515,               0.008515,               0.008515
                     20,                 2.6484,                  2.819,                 3.1721,                0.18846,                0.37633,                0.16458,                0.05872,                 2.3851,                 3.1825,                  3.124,              0.0084325,              0.0084325,              0.0084325
                     21,                 2.5577,                 2.9154,                 3.1002,                0.22036,                0.39806,                0.21609,                0.07456,                 2.3699,                 2.8037,                 3.0358,                0.00835,                0.00835,                0.00835
                     22,                 2.5468,                 2.9032,                 3.0898,                0.45886,                0.15619,                 0.1163,                0.04338,                 2.3215,                 3.3566,                 3.0461,              0.0082675,              0.0082675,              0.0082675
                     23,                 2.4609,                 2.7267,                 3.0086,                0.28546,                 0.4234,                0.21401,                0.08294,                 2.2286,                 2.9065,                 2.9676,               0.008185,               0.008185,               0.008185
                     24,                 2.3404,                 2.6663,                 2.9067,                0.22262,                0.46056,                0.24846,                0.09873,                 2.1685,                 2.6886,                  2.891,              0.0081025,              0.0081025,              0.0081025
                     25,                 2.3573,                 2.6853,                 2.8653,                0.24071,                0.40111,                0.25596,                0.10934,                 2.1618,                 3.7158,                 2.8822,                0.00802,                0.00802,                0.00802
                     26,                 2.3405,                 2.6394,                 2.8714,                0.20494,                0.46654,                 0.2529,                0.09958,                 2.1967,                 3.2965,                 2.8747,              0.0079375,              0.0079375,              0.0079375
                     27,                 2.2515,                 2.6523,                 2.7885,                0.31374,                0.34548,                0.26423,                 0.1091,                 2.0425,                 2.7419,                 2.7411,               0.007855,               0.007855,               0.007855
                     28,                 2.2397,                 2.5991,                 2.7444,                0.27901,                 0.4664,                0.31819,                 0.1207,                 2.0521,                  3.092,                 2.7222,              0.0077725,              0.0077725,              0.0077725
                     29,                 2.2674,                 2.5478,                 2.7121,                0.37351,                0.39363,                0.29921,                0.12592,                 2.0241,                 3.1344,                  2.686,                0.00769,                0.00769,                0.00769
                     30,                 2.1296,                 2.4618,                 2.6452,                0.31386,                0.35206,                  0.245,                0.10288,                 2.0821,                  3.007,                  2.718,              0.0076075,              0.0076075,              0.0076075
                     31,                 2.1188,                 2.5246,                 2.6143,                0.38475,                0.41612,                0.36863,                0.16069,                 1.9924,                 2.4421,                 2.6532,               0.007525,               0.007525,               0.007525
                     32,                 2.0377,                 2.4292,                 2.5647,                0.41115,                0.49856,                0.41638,                0.16359,                 1.9837,                 2.5347,                 2.6524,              0.0074425,              0.0074425,              0.0074425
                     33,                 2.0212,                 2.3418,                 2.5032,                0.34467,                0.40108,                0.33318,                0.13762,                 1.9188,                 2.7934,                 2.5465,                0.00736,                0.00736,                0.00736
                     34,                 1.9869,                 2.2687,                 2.4741,                0.26942,                0.25871,                0.21961,                0.08451,                 2.1025,                 3.3648,                 2.7471,              0.0072775,              0.0072775,              0.0072775
                     35,                 1.9729,                 2.2613,                 2.4282,                 0.3002,                0.34003,                 0.2777,                0.12664,                 1.8996,                 3.1025,                 2.5258,               0.007195,               0.007195,               0.007195
                     36,                 1.9942,                  2.289,                 2.4246,                0.45443,                0.48038,                0.42747,                0.18645,                 1.9344,                 2.6649,                 2.5518,              0.0071125,              0.0071125,              0.0071125
                     37,                 1.9119,                 2.1527,                 2.4036,                0.34847,                0.39229,                0.26139,                0.10078,                  1.967,                 3.1196,                   2.62,                0.00703,                0.00703,                0.00703
                     38,                 1.9222,                 2.2085,                 2.3618,                0.39298,                 0.4439,                0.38283,                0.18005,                  1.806,                 2.3687,                 2.4971,              0.0069475,              0.0069475,              0.0069475
                     39,                  1.895,                 2.2599,                 2.3416,                0.37561,                0.47622,                0.43298,                  0.227,                 1.7189,                 2.2474,                  2.389,               0.006865,               0.006865,               0.006865
                     40,                 1.8485,                 2.1142,                 2.3226,                0.48003,                0.44374,                0.45249,                0.25587,                 1.6935,                 2.1706,                 2.3397,              0.0067825,              0.0067825,              0.0067825
                     41,                 1.8244,                 2.1913,                 2.3153,                0.37547,                0.52458,                0.38493,                0.21275,                 1.7212,                 2.3797,                 2.3857,                 0.0067,                 0.0067,                 0.0067
                     42,                   1.78,                 2.1349,                  2.259,                0.44571,                0.42246,                 0.4099,                0.21444,                 1.6835,                 2.2707,                   2.34,              0.0066175,              0.0066175,              0.0066175
                     43,                 1.8292,                 2.0924,                 2.2901,                 0.4731,                0.46353,                0.43785,                0.23625,                 1.6559,                 2.5363,                 2.2882,               0.006535,               0.006535,               0.006535
                     44,                 1.7842,                 2.1652,                 2.2785,                 0.3881,                0.43288,                0.38059,                0.17865,                 1.7478,                 2.3803,                 2.3783,              0.0064525,              0.0064525,              0.0064525
                     45,                 1.8094,                 2.1461,                 2.2387,                0.39345,                 0.4508,                0.41417,                0.22272,                 1.6548,                 2.3947,                 2.2841,                0.00637,                0.00637,                0.00637
                     46,                 1.7261,                 2.0516,                 2.1979,                0.41387,                0.55064,                0.51379,                 0.3019,                 1.6122,                 2.0988,                 2.2348,              0.0062875,              0.0062875,              0.0062875
                     47,                 1.6804,                 1.9804,                 2.1683,                0.56744,                0.42467,                0.51308,                0.27869,                 1.6507,                 2.0702,                 2.2322,               0.006205,               0.006205,               0.006205
                     48,                 1.6863,                 1.9006,                 2.1482,                0.45529,                0.49983,                0.46801,                0.24061,                 1.6753,                 2.1456,                 2.2805,              0.0061225,              0.0061225,              0.0061225
                     49,                 1.6783,                 1.9482,                 2.1134,                0.47908,                 0.5072,                0.51234,                 0.3043,                 1.6047,                 2.0502,                 2.1897,                0.00604,                0.00604,                0.00604
                     50,                 1.6477,                 1.9512,                 2.1366,                0.53382,                 0.6237,                0.58862,                0.33226,                 1.5661,                 1.9154,                 2.1928,              0.0059575,              0.0059575,              0.0059575
                     51,                 1.6279,                 1.9155,                 2.1091,                0.60217,                0.59404,                0.63466,                0.37953,                 1.5104,                 1.7958,                 2.1293,               0.005875,               0.005875,               0.005875
                     52,                 1.6364,                 1.9191,                 2.1136,                0.58324,                0.59305,                0.60645,                 0.3477,                 1.5668,                 1.9634,                 2.1736,              0.0057925,              0.0057925,              0.0057925
                     53,                 1.6648,                 2.0038,                 2.1304,                0.44779,                0.44309,                0.42335,                0.22059,                  1.631,                 2.4815,                 2.2273,                0.00571,                0.00571,                0.00571
                     54,                 1.6177,                 1.8649,                 2.1019,                  0.543,                0.49426,                0.53821,                0.32445,                 1.5363,                 2.2104,                   2.15,              0.0056275,              0.0056275,              0.0056275
                     55,                 1.5776,                 1.8577,                  2.047,                0.59995,                0.61692,                0.63446,                0.39061,                 1.4969,                 1.7451,                 2.0996,               0.005545,               0.005545,               0.005545
                     56,                 1.5888,                 1.8617,                 2.0432,                 0.5525,                0.62909,                 0.6125,                 0.3695,                 1.4842,                 1.8161,                 2.0965,              0.0054625,              0.0054625,              0.0054625
                     57,                 1.5703,                 1.7868,                 2.0206,                0.61912,                0.65904,                0.63068,                0.37912,                  1.508,                 1.7812,                 2.1035,                0.00538,                0.00538,                0.00538
                     58,                 1.5972,                 1.8421,                 2.0391,                0.51583,                0.64139,                0.61132,                0.34402,                 1.5109,                 1.8376,                 2.0998,              0.0052975,              0.0052975,              0.0052975
                     59,                 1.5522,                 1.8306,                 2.0266,                 0.6356,                0.61619,                0.65678,                0.40238,                 1.4504,                 1.8528,                 2.0096,               0.005215,               0.005215,               0.005215
                     60,                  1.581,                 1.8676,                 2.0342,                0.63683,                0.68522,                0.68661,                0.43229,                 1.4272,                 1.5775,                 2.0225,              0.0051325,              0.0051325,              0.0051325
                     61,                 1.5625,                 1.7766,                  2.016,                0.61098,                 0.6629,                0.66671,                0.41267,                 1.4626,                 1.5979,                 2.0734,                0.00505,                0.00505,                0.00505
                     62,                 1.5162,                 1.7408,                 1.9771,                0.63951,                0.66667,                0.66625,                0.40918,                 1.5052,                 1.6325,                 2.1266,              0.0049675,              0.0049675,              0.0049675
                     63,                 1.5311,                 1.7456,                 1.9738,                0.64849,                0.66393,                0.68347,                0.41775,                 1.4562,                 1.5404,                  2.057,               0.004885,               0.004885,               0.004885
                     64,                  1.541,                 1.7389,                 1.9887,                0.56798,                0.51902,                0.58258,                0.31462,                 1.6255,                 1.8705,                  2.167,              0.0048025,              0.0048025,              0.0048025
                     65,                 1.5236,                 1.7638,                 1.9749,                0.62737,                0.65191,                0.66712,                0.39855,                 1.5002,                 1.6396,                 2.0478,                0.00472,                0.00472,                0.00472
                     66,                 1.4904,                 1.7192,                 1.9438,                 0.6096,                0.65031,                0.68704,                0.43518,                 1.3744,                 1.6026,                  1.967,              0.0046375,              0.0046375,              0.0046375
