                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.219,                 4.2782,                 4.3244,                0.00268,                0.54572,                0.00305,                0.00126,                 3.0284,                 4.1064,                 4.1572,                 0.0002,                 0.0002,                 0.0002
                      1,                 3.2151,                 4.1654,                 4.1958,                0.00254,                0.54063,                0.00307,                0.00153,                 3.0237,                 4.1005,                 4.1486,             0.00041046,             0.00041046,             0.00041046
                      2,                 3.1006,                 4.0495,                 4.1033,                0.00262,                0.55109,                0.00463,                0.00201,                 2.9787,                 4.1412,                 4.0895,             0.00061881,             0.00061881,             0.00061881
                      3,                 3.0911,                 3.8863,                 3.9511,                0.00261,                0.54715,                0.01417,                0.00535,                 2.9669,                 4.1847,                 4.0896,             0.00082506,             0.00082506,             0.00082506
                      4,                 3.0545,                 3.7253,                 3.7676,                0.00264,                0.54109,                 0.0036,                0.00137,                 3.0265,                 3.8461,                   4.37,              0.0010292,              0.0010292,              0.0010292
                      5,                 2.9865,                 3.6069,                 3.6313,                 0.0028,                0.59205,                0.03811,                0.01014,                 2.9915,                 3.8667,                 4.0612,              0.0012191,              0.0012191,              0.0012191
                      6,                 2.8188,                 3.5384,                 3.5199,                0.05732,                0.26606,                0.07285,                0.01597,                 2.7555,                  7.586,                 4.0804,              0.0012191,              0.0012191,              0.0012191
                      7,                  2.746,                 3.4444,                 3.4364,                0.57304,                0.20031,                0.07645,                0.01828,                 2.6837,                 8.2432,                 4.0465,              0.0012129,              0.0012129,              0.0012129
                      8,                 2.6766,                 3.2348,                 3.2549,                 0.1549,                0.38051,                0.18851,                0.05769,                 2.5452,                 4.7108,                 3.4747,              0.0012067,              0.0012067,              0.0012067
                      9,                 2.6654,                 3.1261,                 3.2591,                0.34584,                0.08506,                0.07921,                0.02212,                 2.5398,                 4.8528,                 3.4563,              0.0012005,              0.0012005,              0.0012005
                     10,                 2.5242,                 3.0301,                 3.0971,                0.80411,                0.06183,                0.04903,                0.01091,                 2.7513,                  5.794,                  3.459,              0.0011943,              0.0011943,              0.0011943
                     11,                   2.44,                 2.9521,                 3.0163,                0.59146,                0.26382,                 0.1349,                0.05528,                 2.2576,                 14.629,                 3.0967,              0.0011881,              0.0011881,              0.0011881
                     12,                 2.3734,                 2.9005,                 2.9163,                0.51924,                0.25402,                0.22881,                0.11278,                 2.3997,                 3.0992,                 3.1833,              0.0011819,              0.0011819,              0.0011819
                     13,                 2.2958,                 2.8714,                  2.903,                 0.6613,                0.30753,                0.34057,                0.18172,                 2.0953,                 7.3128,                 2.9711,              0.0011757,              0.0011757,              0.0011757
                     14,                 2.1723,                 2.7621,                 2.8127,                0.55648,                0.42486,                0.35399,                0.17347,                 2.0753,                 5.9625,                 2.9272,              0.0011696,              0.0011696,              0.0011696
                     15,                 2.1843,                 2.6187,                 2.8011,                0.29257,                0.34997,                0.16299,                0.06812,                 2.3948,                 3.2657,                 3.1536,              0.0011634,              0.0011634,              0.0011634
                     16,                 2.0154,                 2.5452,                 2.6803,                0.30493,                 0.5944,                0.47906,                0.27121,                 1.8153,                 3.4995,                 2.6854,              0.0011572,              0.0011572,              0.0011572
                     17,                 1.9695,                 2.5655,                 2.6608,                0.70309,                 0.4559,                0.52758,                 0.3092,                 1.7583,                 2.4631,                 2.5936,               0.001151,               0.001151,               0.001151
                     18,                 1.9905,                 2.5848,                 2.6382,                0.16224,                0.20271,                0.10456,                0.04263,                  2.384,                  3.935,                 3.1839,              0.0011448,              0.0011448,              0.0011448
                     19,                 1.9043,                 2.3521,                 2.5382,                0.52074,                0.60167,                0.60249,                0.33815,                 1.6412,                  2.003,                 2.4337,              0.0011386,              0.0011386,              0.0011386
                     20,                 1.8149,                 2.2568,                 2.4779,                0.42792,                0.53818,                0.54974,                0.34239,                 1.6264,                 2.0614,                 2.4501,              0.0011324,              0.0011324,              0.0011324
                     21,                 1.7699,                 2.1499,                 2.3902,                0.70124,                0.47031,                0.58205,                0.35287,                 1.5958,                 2.4587,                 2.2969,              0.0011263,              0.0011263,              0.0011263
                     22,                 1.6764,                  2.098,                 2.3079,                0.52289,                0.59881,                0.53919,                0.26762,                 1.8457,                 2.1212,                 2.5164,              0.0011201,              0.0011201,              0.0011201
                     23,                 1.7025,                 2.0712,                 2.3038,                0.79304,                0.50369,                0.65063,                0.42048,                 1.4797,                 1.9637,                  2.234,              0.0011139,              0.0011139,              0.0011139
                     24,                 1.6509,                 2.0794,                 2.2762,                0.65452,                0.63098,                0.63976,                0.40189,                 1.4375,                 1.7749,                 2.1909,              0.0011077,              0.0011077,              0.0011077
